"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
22037.6529, 17.601806628539265, 22734.2430, 15, 2.8238, coolFactor='0.03', startTemp='500'
22427.0201, 17.645989115085076, 23133.3673, 15, 2.8500, coolFactor='0.03', startTemp='500'
22455.3199, 17.601290565647492, 23163.8181, 15, 2.8890, coolFactor='0.03', startTemp='500'
22455.9855, 17.524279976974835, 23165.3712, 15, 2.8956, coolFactor='0.03', startTemp='500'
22530.3821, 17.781583710493546, 23240.9728, 15, 2.9038, coolFactor='0.03', startTemp='500'
22531.1979, 17.705130443916666, 23242.6793, 15, 2.9106, coolFactor='0.03', startTemp='500'
22532.2365, 17.63036122664208, 23244.6459, 15, 2.9176, coolFactor='0.03', startTemp='500'
22542.4688, 17.597303599119186, 23255.8391, 15, 2.9245, coolFactor='0.03', startTemp='500'
22615.4129, 17.843253151575723, 23329.9698, 15, 2.9327, coolFactor='0.03', startTemp='500'
22616.2243, 17.76786113523804, 23331.6788, 15, 2.9394, coolFactor='0.03', startTemp='500'
22616.8878, 17.692482187884494, 23332.2592, 15, 2.9460, coolFactor='0.03', startTemp='500'
22627.2127, 17.66013692450105, 23344.5312, 15, 2.9532, coolFactor='0.03', startTemp='500'
22635.0038, 17.616994535038046, 23352.2591, 15, 2.9637, coolFactor='0.03', startTemp='500'
22635.0063, 17.616994535038046, 23352.2616, 15, 2.9662, coolFactor='0.03', startTemp='500'
24687.3280, 17.544859199938568, 25430.8521, 15, 3.1537, coolFactor='0.03', startTemp='500'
24714.4075, 17.586104026604524, 25458.0275, 15, 3.1608, coolFactor='0.03', startTemp='500'
24715.6430, 17.515583895403765, 25460.1427, 15, 3.1708, coolFactor='0.03', startTemp='500'
24716.4519, 17.44385096750546, 25462.8688, 15, 3.1779, coolFactor='0.03', startTemp='500'
24724.1594, 17.402210914171658, 25471.5050, 15, 3.1854, coolFactor='0.03', startTemp='500'
24734.4687, 17.371997824121028, 25482.7591, 15, 3.1925, coolFactor='0.03', startTemp='500'
24735.1342, 17.30117715011209, 25483.3113, 15, 3.1997, coolFactor='0.03', startTemp='500'
24762.7205, 17.34454440768761, 25512.8713, 15, 3.2068, coolFactor='0.03', startTemp='500'
24965.5523, 17.579087147191792, 25721.0177, 15, 3.2427, coolFactor='0.03', startTemp='500'
25039.0029, 17.81282339834269, 25796.6660, 15, 3.2512, coolFactor='0.03', startTemp='500'
25040.0193, 17.742806774377822, 25798.5720, 15, 3.2587, coolFactor='0.03', startTemp='500'
25040.0215, 17.742806774377822, 25798.5742, 15, 3.2609, coolFactor='0.03', startTemp='500'
25446.7234, 17.782056545320884, 26214.3558, 15, 3.3002, coolFactor='0.03', startTemp='500'
25447.3916, 17.711307818239387, 26215.9121, 15, 3.3076, coolFactor='0.03', startTemp='500'
25455.0796, 17.670028862148644, 26224.5328, 15, 3.3150, coolFactor='0.03', startTemp='500'
25465.5675, 17.640562383854977, 26235.9680, 15, 3.3227, coolFactor='0.03', startTemp='500'
25660.2903, 17.571794698676285, 26437.8311, 15, 3.3763, coolFactor='0.03', startTemp='500'
25687.2071, 17.609751288483782, 26465.2515, 15, 3.3840, coolFactor='0.03', startTemp='500'
25697.6567, 17.580730759663137, 26477.6437, 15, 3.3919, coolFactor='0.03', startTemp='500'
25698.4556, 17.513030985670706, 26479.3411, 15, 3.3996, coolFactor='0.03', startTemp='500'
25699.5648, 17.447121327181897, 26481.3486, 15, 3.4072, coolFactor='0.03', startTemp='500'
25773.2110, 17.671881344795228, 26555.1739, 15, 3.4164, coolFactor='0.03', startTemp='500'
25780.7983, 17.631674713347536, 26564.7031, 15, 3.4236, coolFactor='0.03', startTemp='500'
25781.4623, 17.564312644421108, 26565.2954, 15, 3.4312, coolFactor='0.03', startTemp='500'
